"","TOC","BD_fine","depth"
"572",0.879,1.32,100
"573",0.279,1.39,100
"574",1.608,1.23,70
"575",0.471,1.32,70
"576",0.165,1.53,100
"577",0.253,1.39,100
"578",0.066,1.69,50
"579",3.913,1.15,10
"580",0.359,1.4,50
"581",0.231,1.22,100
"582",0.197,1.7,70
"583",0.134,1.71,78
"584",0.103,1.7,100
"585",1.779,1.27,10
"586",0.218,1.44,83
"587",0.201,1.59,50
"588",0.181,1.64,50
"589",3.6,1.13,70
"590",1.48,1.45,100
"591",0.106,1.69,100
"592",0.399,1.49,50
"593",0.255,1.38,60
"594",1.604,1.17,10
"595",1.527,1.31,30
"596",0.397,1.58,70
"597",0.324,1.51,100
"598",2.614,1.25,10
"599",0.189,1.52,90
"600",1.996,1.41,30
"601",0.573,1.32,70
"602",1.892,1.29,50
"603",1.389,1.36,70
"604",0.367,1.5,100
"605",1.975,1.31,70
"606",0.099,1.64,100
"607",0.563,1.22,70
"608",0.229,1.41,100
"609",1.798,1.03,10
"610",1.523,1.5,30
"611",1.484,1.43,40
"612",0.527,1.52,50
"613",0.36,1.47,100
"614",0.495,1.67,50
"615",0.195,1.61,70
"616",0.414,1.35,100
"617",0.087,1.58,100
"618",0.128,1.75,70
"619",0.103,1.77,100
"620",3.481,1.01,10
"621",0.748,1.45,70
"622",0.135,1.72,100
"623",2.606,1.23,10
"624",0.49,1.76,70
"625",0.417,1.7,82
"626",0.263,1.45,100
"627",0.479,1.42,70
"628",2.604,1.36,30
"629",0.267,1.36,100
"630",1.288,1.39,70
"631",1.052,1.37,80
"632",1.113,1.31,100
"633",0.056,1.7,70
"634",3.775,1.3,30
"635",0.461,1.36,70
"636",0.266,1.27,100
"637",0.462,1.49,70
"638",0.277,1.5,100
"639",0.451,1.49,50
"640",1.107,1.58,40
"641",0.642,1.58,50
"642",0.145,1.55,50
"643",0.076,1.57,70
"644",0.041,1.64,100
"645",2.373,1.22,10
"646",0.131,1.57,100
"647",0.318,1.63,70
"648",0.139,1.62,100
"649",1.095,1.23,10
"650",0.511,1.5,35
"651",0.315,1.46,50
"652",0.19,1.54,70
"653",0.149,1.56,100
"654",0.636,1.34,50
"655",0.233,1.49,70
"656",0.168,1.46,90
"657",1.633,1.3,50
"658",0.832,1.32,70
"659",0.422,1.32,78
"660",0.235,1.33,100
"661",4.674,0.91,30
"662",4.68,0.88,50
"663",0.93,1.51,50
"664",0.589,1.65,70
"665",0.438,1.49,70
"666",0.215,1.54,50
"667",0.148,1.57,70
"668",0.112,1.56,100
"669",0.067,1.65,50
"670",0.101,1.67,100
"671",0.156,1.52,100
"672",1.68,1.3,10
"673",0.213,1.63,50
"674",0.128,1.66,70
"675",0.137,1.65,100
"676",1.134,1.21,10
"677",0.17,1.52,70
"678",0.858,1.36,70
"679",0.531,1.54,100
"680",4.062,0.91,10
"681",1.967,1.29,30
"682",1.497,1.34,50
"683",0.986,1.41,70
"684",0.697,1.39,100
"685",1.387,1.33,10
"686",0.212,1.55,70
"687",0.185,1.52,100
"688",0.496,1.47,50
"689",0.25,1.47,70
"690",0.207,1.51,100
"691",0.309,1.45,50
"692",0.224,1.45,70
"693",1.184,1.31,50
"694",1.148,1.24,70
"695",0.684,1.39,40
"696",0.859,1.53,42
"697",0.62,1.44,50
"698",5.298,0.94,10
"699",0.319,1.54,50
"700",0.197,1.54,70
"701",1.817,1.38,30
"702",0.346,1.58,70
"703",0.116,1.48,100
"704",0.311,1.46,50
"705",0.142,1.55,70
"706",0.083,1.59,100
"707",0.307,1.45,100
"708",5.353,0.9,10
"709",0.403,1.47,50
"710",0.096,1.64,100
"711",1.694,1.38,100
"712",1.022,1.31,50
"713",1.287,1.26,70
"714",1.409,1.12,100
"715",6.237,0.72,50
"716",1.639,1.28,100
"717",3.259,1.04,30
"718",1.89,1.21,50
"719",1.745,1.43,70
"720",0.535,1.4,70
"721",0.299,1.3,70
"722",0.225,1.56,70
"723",0.436,1.56,50
"724",0.204,1.61,70
"725",0.368,1.52,50
"726",0.215,1.52,70
"727",1.744,0.94,10
"728",0.539,1.45,50
"729",0.116,1.6,100
"730",1.019,1.4,40
"731",0.469,1.51,50
"732",0.371,1.45,70
"733",0.64,1.42,41
"734",0.594,1.27,50
"735",0.222,1.62,100
"736",0.196,1.47,70
"737",1.538,1.51,30
"738",0.815,1.36,100
"739",0.294,1.57,50
"740",0.225,1.55,70
"741",0.146,1.57,83
"742",0.097,1.62,100
"743",0.211,1.41,70
"744",0.93,1.4,70
"745",4.555,0.98,10
"746",3.967,1.19,30
"747",5.753,1.14,50
"748",2.619,1.17,70
"749",2.098,1.28,100
"750",0.393,1.4,70
"751",0.225,1.5,100
"752",0.488,1.38,50
"753",0.409,1.59,50
"754",2.516,1.12,10
"755",0.251,1.27,100
"756",0.983,1.48,30
"757",0.295,1.4,50
"758",0.164,1.43,100
"759",0.105,1.59,100
"760",0.389,1.45,70
"761",0.2,1.48,70
"762",0.114,1.52,100
"763",0.268,1.48,100
"764",0.334,1.48,90
"765",0.187,1.61,100
"766",1.364,1.09,30
"767",0.068,1.67,100
"768",0.789,1.49,70
"769",1.376,1.45,90
"770",0.213,1.58,100
"771",1.1,1.29,10
"772",0.255,1.61,50
"773",0.113,1.55,70
"774",0.316,1.44,44
"775",0.246,1.38,50
"776",0.167,1.51,70
"777",0.128,1.57,93
"778",0.256,1.52,38
"779",0.256,1.45,50
"780",0.187,1.48,70
"781",0.147,1.44,100
"782",0.248,1.52,100
"783",0.158,1.54,70
"784",0.51,1.52,100
"785",1.013,1.47,35
"786",0.242,1.71,85
"787",0.258,1.44,100
"788",1.581,1.19,10
"789",0.33,1.58,40
"790",0.311,1.47,58
"791",0.282,1.4,70
"792",0.329,1.45,100
"793",0.601,1.45,50
"794",0.339,1.44,70
"795",0.198,1.42,100
"796",0.075,1.59,70
"797",0.06,1.75,100
"798",0.225,1.58,60
"799",0.08,1.66,100
"800",0.217,1.53,100
"801",0.158,1.56,70
"802",0.112,1.57,100
"803",1.502,1.45,30
"804",0.312,1.51,50
"805",0.111,1.53,70
"806",0.089,1.54,100
"807",0.387,1.45,50
"808",0.138,1.58,100
