depth increment	TOC	BD_fine	BD_all	Steingehalt
100	0.06	1.75	1.75	0
60	0.225	1.58	1.58	0
100	0.08	1.66	1.66	0
100	0.217	1.53	1.53	0
70	0.158	1.56	1.56	0
100	0.112	1.57	1.57	0
30	1.502	1.45	1.45	0
50	0.312	1.51	1.51	0
70	0.111	1.53	1.53	0
100	0.089	1.54	1.54	0
50	0.387	1.45	1.45	0
100	0.138	1.58	1.58	0
100	0.148	1.48	1.48	0
70	0.565	1.36	1.36	0
100	0.566	1.43	1.43	0
50	1.345	1.29	1.29	0
60	1.07	1.37	1.37	0
70	0.644	1.33	1.33	0
50	0.499	1.3	1.3	0
70	0.28	1.42	1.42	0
100	0.179	1.43	1.43	0
85	0.179	1.66	1.66	0
100	0.079	1.74	1.74	0
70	0.295	1.51	1.51	0
100	0.218	1.52	1.52	0
10	1.524	1.28	1.28	0
30	1.001	1.49	1.49	0
70	0.269	1.51	1.51	0
50	1.428	1.39	1.39	0
100	0.611	1.31	1.31	0
100	1.304	1.2	1.2	0
100	0.205	1.45	1.45	0
70	0.232	1.37	1.37	0
50	0.226	1.53	1.53	0
70	0.185	1.52	1.52	0
100	0.131	1.55	1.55	0
100	0.172	1.42	1.42	0
50	0.698	1.54	1.54	0
70	0.758	1.38	1.38	0
70	0.384	1.51	1.51	0
100	0.298	1.41	1.41	0
100	0.585	1.49	1.49	0
30	0.83	1.65	1.65	0
50	0.254	1.55	1.55	0
70	0.172	1.54	1.54	0
100	0.132	1.56	1.56	0
10	1.268	1.19	1.2	0
21	1.075	1.37	1.37	0
30	1.104	1.4	1.4	0
50	0.269	1.44	1.44	0
70	0.245	1.42	1.42	0
82	0.193	1.47	1.47	0
70	0.25	1.49	1.49	0
100	0.232	1.48	1.48	0
70	0.204	1.47	1.47	0
100	0.155	1.53	1.53	0
50	0.302	1.51	1.51	0
10	3.287	1.04	1.05	0
30	1.452	1.26	1.26	0
50	1.063	1.27	1.27	0
30	0.275	1.59	1.59	0
50	0.205	1.53	1.53	0
70	0.146	1.58	1.58	0
100	0.123	1.54	1.54	0
10	3.762	1.19	1.19	0
30	0.511	1.47	1.47	0
50	0.315	1.51	1.51	0
10	1.613	1.17	1.17	0
20	1.728	1.24	1.24	0
40	0.732	1.45	1.45	0
50	0.512	1.44	1.44	0
